Prefecture,G1_Ratio,G1_FeverTrue,G1_Total,G2_Ratio,G2_FeverTrue,G2_Total,G3_Ratio,G3_FeverTrue,G3_Total,G4_Ratio,G4_FeverTrue,G4_Total,G5_Ratio,G5_FeverTrue,G5_Total,G6_Ratio,G6_FeverTrue,G6_Total,All_Ratio,All_FeverTrue,All_Total,All_Ratio_correction
全国,0.23,5995,2651272,0.09,1890,2128322,0.10,8007,7928268,0.12,3588,3056554,0.05,1589,3389913,0.12,5866,4838372,0.11,26935,23992701,NA
北海道,0.31,319,101588,0.12,116,95717,0.15,377,258799,0.18,196,108047,0.07,87,132584,0.18,348,198244,0.16,1443,894979,0.16
青森県,0.24,51,21078,0.13,29,21492,0.09,50,54295,0.13,34,26743,0.05,10,21795,0.12,52,44418,0.12,226,189821,0.11
岩手県,0.24,47,19985,0.12,22,18798,0.06,30,51765,0.10,25,24980,0.02,5,20169,0.10,42,42113,0.10,171,177810,0.08
宮城県,0.21,109,52179,0.05,20,37179,0.09,116,132214,0.12,70,59555,0.03,19,58978,0.10,82,83602,0.10,416,423707,0.09
秋田県,0.30,45,15176,0.09,15,16992,0.06,26,42463,0.11,21,19176,0.04,7,17109,0.12,39,33481,0.11,153,144397,0.08
山形県,0.22,38,17119,0.10,16,16050,0.09,39,45508,0.12,28,23298,0.04,7,16575,0.10,39,38419,0.11,167,156969,0.1
福島県,0.20,66,32776,0.08,23,27329,0.08,63,83999,0.11,38,34225,0.04,15,36407,0.11,79,69935,0.10,284,284671,0.1
茨城県,0.21,108,51083,0.08,34,42515,0.09,137,158301,0.09,60,64531,0.03,21,71465,0.10,122,121967,0.09,482,509862,0.09
栃木県,0.16,60,38105,0.07,22,30096,0.08,81,105573,0.10,45,43291,0.05,24,47853,0.09,74,83931,0.09,306,348849,0.09
群馬県,0.15,56,37668,0.06,22,34305,0.09,90,100419,0.10,44,46138,0.05,24,45942,0.11,96,84936,0.10,332,349408,0.09
埼玉県,0.20,334,167351,0.08,102,120844,0.10,522,530087,0.09,174,189037,0.05,120,231050,0.10,315,300857,0.10,1567,1539226,0.1
